artist,count,popularity,tempo,loudness,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Buck Clayton,40,3.925,114.501475,-13.173449999999995,0.897025,0.5891250000000003,0.20459,0.22138115,0.198825,0.0646199999999999,0.5983
Buck Owens,24,44.25,120.78683333333332,-8.323666666666668,0.4784166666666666,0.586,0.5238333333333333,0.0019041366666666,0.1261416666666666,0.0315166666666666,0.8413333333333329
Buckcherry,16,50.375,119.75025,-4.203874999999999,0.011462525,0.56,0.8840000000000001,0.113356255,0.3498125,0.0816375,0.46325
Buckethead,10,46.0,127.56799999999998,-9.971799999999998,0.4207048000000001,0.4932,0.6011999999999998,0.8896,0.11292,0.05144,0.35718
Buckwheat Zydeco,8,30.75,143.40300000000005,-11.21425,0.189575,0.6485,0.57375,0.0032753875,0.11325,0.04005,0.85575
Bud Powell,155,10.774193548387096,105.47258709677423,-17.156993548387092,0.8631677419354835,0.4931096774193549,0.2488849032258066,0.6265165332903231,0.155872258064516,0.0417090322580645,0.5118270967741937
Bud Powell Trio,22,7.454545454545454,118.79272727272728,-16.674,0.3058181818181817,0.5016363636363635,0.3918181818181818,0.3788727272727272,0.189390909090909,0.1226090909090909,0.6296363636363635
Buddy Bregman,13,14.076923076923077,114.52892307692308,-15.109153846153848,0.5716923076923077,0.5923076923076922,0.190876923076923,0.0,0.109976923076923,0.045176923076923,0.5770769230769229
Buddy Fo & His Group,6,30.66666666666667,91.32733333333331,-13.420333333333332,0.9250000000000002,0.4883333333333333,0.1953333333333333,0.0011433333333333,0.0883999999999999,0.0345,0.3453333333333333
Buddy Greco,10,33.4,114.4692,-12.563199999999998,0.6678000000000001,0.4957999999999999,0.4112,0.0,0.36114,0.0799,0.6514000000000001
Buddy Guy,27,39.7037037037037,106.56474074074076,-11.81025925925926,0.4606972592592594,0.5494444444444443,0.4987037037037037,0.110329837037037,0.1814370370370371,0.055837037037037,0.5320000000000001
Buddy Holly,112,32.30357142857143,121.52391071428578,-9.250982142857143,0.5419285714285712,0.5831071428571428,0.5729696428571429,0.04725868625,0.1736642857142859,0.0451571428571428,0.7330714285714289
Buddy Miles,16,31.875,123.66725,-11.017874999999998,0.2601,0.5451250000000001,0.5788749999999999,0.10151885,0.1962,0.0489749999999999,0.5445
Buddy Rich,45,16.6,104.04988888888892,-12.005444444444445,0.4516044444444444,0.5209999999999998,0.5365088888888888,0.1739295053333333,0.2188844444444444,0.1232044444444444,0.6825555555555555
Buddy Rich And His Sextet,10,19.0,118.2496,-13.912200000000002,0.42804,0.447,0.49534,0.27762,0.13228,0.0476399999999999,0.4327
Buffalo Springfield,104,31.01923076923077,119.09811538461538,-13.596653846153846,0.48855,0.5298653846153845,0.4333730769230767,0.0916127171153846,0.1777692307692308,0.0473173076923076,0.6028076923076922
Buffy Sainte-Marie,24,25.25,113.35858333333334,-15.96183333333334,0.7520000000000002,0.4815833333333335,0.2335,0.0009030266666666,0.1123833333333333,0.0447333333333333,0.4089416666666667
Built To Spill,40,38.95,135.03480000000002,-7.440649999999996,0.0765789849999999,0.37995,0.6901999999999997,0.3289134,0.2069949999999999,0.03822,0.49955
Buju Banton,27,42.85185185185185,119.97588888888887,-9.749851851851853,0.1756148148148148,0.7520370370370372,0.563,3.925925925925926e-06,0.1260074074074074,0.224537037037037,0.7568148148148147
Bukka White,8,18.75,117.17400000000002,-12.507749999999998,0.8862500000000002,0.6007500000000001,0.27,0.1818081,0.185575,0.0491,0.6750000000000002
Bullet For My Valentine,56,48.03571428571429,128.37628571428567,-3.734142857142857,0.0289130285714285,0.3312500000000002,0.9148571428571424,0.0009057610714285,0.1948607142857142,0.0898107142857142,0.3595642857142857
Bulletboys,8,35.25,107.35399999999998,-6.9325,0.0846675,0.45825,0.825,0.00793375,0.3199749999999999,0.04705,0.4505
Bun B,35,45.65714285714286,106.7839142857143,-5.840657142857142,0.0351468571428571,0.6851142857142856,0.696542857142857,0.0156857445714285,0.32348,0.2674342857142858,0.4941714285714284
Bunbury,6,62.16666666666666,108.99783333333336,-7.972666666666666,0.6315,0.5996666666666667,0.5446666666666666,9.153333333333333e-06,0.2706666666666667,0.03425,0.4441666666666666
Bunny Berigan,32,5.5625,138.82725000000002,-12.582437500000005,0.9427500000000002,0.6151875000000001,0.289125,0.5397680437499999,0.20025,0.0671499999999999,0.6932187500000001
Bunny Wailer,22,36.36363636363637,102.54090909090912,-14.062454545454544,0.2972290909090909,0.7502727272727273,0.4346363636363635,0.1420915454545454,0.088,0.2096181818181818,0.7833636363636365
Burl Ives,94,26.9468085106383,119.10525531914894,-14.57610638297873,0.7842787234042551,0.5646063829787238,0.2001531914893618,0.0222735651063829,0.1480553191489362,0.0669744680851063,0.5594574468085105
Burt Bacharach,58,30.87931034482759,103.6100344827586,-14.852862068965516,0.5437413793103447,0.4915517241379309,0.3009620689655171,0.4404455634482758,0.1597413793103448,0.0455258620689655,0.4274551724137933
Burton Cummings,10,30.8,132.6766,-9.1208,0.07076,0.5728,0.6501999999999999,0.000285238,0.12696,0.0403,0.674
Burzum,12,43.83333333333334,111.02750000000005,-9.345000000000002,0.001325495,0.2638333333333333,0.7681666666666668,0.7681833333333331,0.3260333333333333,0.0573666666666666,0.2410166666666666
Bush,18,54.0,133.87111111111108,-6.179222222222222,0.0670089,0.415,0.7208888888888889,0.0063778711111111,0.1700111111111111,0.0694,0.2449333333333333
Busta Rhymes,92,49.28260869565217,108.4910326086956,-6.128630434782612,0.0898836956521739,0.7158586956521739,0.7692282608695651,0.0004278390217391,0.248733695652174,0.2738076086956521,0.6327282608695652
Butch Cassidy,8,47.125,107.968125,-6.20375,0.0870249999999999,0.8768750000000001,0.687875,4.95e-07,0.122725,0.30875,0.6615000000000001
Butthole Surfers,30,37.266666666666666,113.08066666666666,-8.030799999999997,0.09155484,0.4384,0.7767333333333337,0.1549475973333333,0.2861133333333333,0.0737333333333333,0.4738
Buzzcocks,42,33.476190476190474,141.718,-7.360095238095237,0.009026638095238,0.3318095238095238,0.8477142857142856,0.0092237019047619,0.1702761904761905,0.0883285714285714,0.6269523809523809
Bye Bye Birdie Ensemble,12,14.333333333333336,115.82458333333334,-12.081666666666663,0.852,0.4862500000000001,0.42275,0.0091372916666666,0.38505,0.1968166666666666,0.6663333333333333
Byron Cage,6,45.0,114.35666666666668,-4.944333333333332,0.1195,0.6046666666666666,0.8093333333333333,1.5766666666666665e-06,0.5756666666666667,0.1094,0.4663333333333333
BØRNS,18,63.33333333333334,125.43722222222225,-5.597111111111111,0.0407516666666666,0.602,0.7505555555555558,0.0022823133333333,0.1506222222222222,0.0650111111111111,0.5213333333333333
Béla Bartók,35,4.085714285714285,96.71482857142858,-20.56085714285714,0.9133714285714288,0.2670285714285714,0.1490971428571429,0.6420682857142856,0.1624285714285714,0.0450942857142857,0.1119171428571428
Béla Fleck,12,31.25,123.62233333333332,-16.172583333333332,0.5891666666666665,0.4520833333333334,0.4508333333333334,0.6185683333333332,0.2175333333333333,0.0329833333333333,0.6783333333333333
Béla Fleck and the Flecktones,10,37.4,125.1774,-14.0566,0.3996000000000001,0.5329999999999999,0.4248,0.7879999999999999,0.086,0.03996,0.3221999999999999
C & C Music Factory,16,46.0,116.40406249999998,-7.3255625,0.016861375,0.7156874999999999,0.860875,0.202458775,0.1725625,0.07808125,0.7795624999999997
C-Kan,6,60.5,121.03866666666666,-5.107666666666666,0.3939999999999999,0.7999999999999999,0.7204999999999999,0.0,0.2408333333333333,0.1999333333333332,0.8266666666666668
C-Murder,8,39.375,136.66625000000002,-6.25325,0.02293625,0.789125,0.6918750000000001,0.0,0.2379,0.37425,0.6262500000000001
C.W. McCall,20,37.3,123.0733,-15.012400000000005,0.7016000000000002,0.6276999999999999,0.5982999999999998,0.00072055,0.1056299999999999,0.20694,0.7563000000000002
C418,74,55.35135135135136,105.24181081081078,-20.992459459459464,0.8189567567567563,0.4170270270270272,0.1664948648648649,0.7791808108108109,0.105308108108108,0.0628594594594594,0.1564648648648648
CAN,66,26.181818181818183,122.997,-11.19121212121212,0.1670094848484848,0.5499696969696971,0.6602121212121214,0.4247730303030303,0.1831272727272726,0.0504878787878787,0.4898848484848482
CBC Symphony Orchestra,62,0.4516129032258064,104.34909677419353,-19.45280645161291,0.9796774193548388,0.2870322580645161,0.144374193548387,0.6028464999999998,0.1778258064516129,0.0439451612903225,0.2361322580645161
CHIC,43,40.88372093023256,114.29983720930232,-12.762465116279069,0.1466102325581395,0.7603023255813954,0.5956744186046513,0.2339116232558139,0.2024418604651162,0.0679906976744186,0.7852558139534879
COIN,12,64.33333333333333,127.575,-5.479833333333333,0.0172933333333333,0.5113333333333333,0.7608333333333333,0.0229596683333333,0.2561666666666667,0.0590499999999999,0.5708333333333333
CVBZ,8,58.25,120.72675,-4.75075,0.08045,0.6225,0.8075,0.0,0.1699999999999999,0.139125,0.56325
Caamp,18,61.11111111111112,124.74688888888892,-11.000444444444444,0.7305555555555555,0.5448888888888888,0.4047444444444445,0.0277945688888888,0.1464,0.0369999999999999,0.4007666666666668
Cab Calloway,32,27.375,114.39018749999995,-11.1959375,0.916625,0.5969374999999999,0.3806875,0.0284254375,0.2576,0.10088125,0.6802500000000001
Cactus,10,29.2,120.21440000000004,-9.7754,0.1440262,0.3472,0.727,0.007918,0.2158,0.08182,0.5886000000000001
Caesars,6,51.33333333333334,134.00700000000003,-2.603,0.0171,0.58,0.981,1.07e-05,0.3860000000000001,0.06,0.8609999999999999
Caetano Veloso,67,39.71641791044776,112.10335820895529,-13.672000000000004,0.5525402985074628,0.5346865671641788,0.3486865671641792,0.0269795752238806,0.2299850746268656,0.0793029850746268,0.5945970149253732
Café Tacvba,40,56.7,144.66365,-7.221599999999998,0.230672,0.63935,0.6799900000000001,0.0056490834999999,0.15475,0.0524999999999999,0.6868500000000001
Cage The Elephant,62,56.83870967741935,129.24667741935485,-4.397225806451615,0.0598301677419354,0.5094193548387097,0.8181935483870973,0.011475233548387,0.2098870967741935,0.0560935483870967,0.513667741935484
Caifanes,64,53.03125,133.65653125,-9.1620625,0.2495512500000001,0.5617500000000002,0.7171250000000001,0.0175179015625,0.18638125,0.042203125,0.5294906249999998
Cake,104,44.846153846153854,118.59978846153848,-8.689499999999997,0.1586790384615384,0.64075,0.6185576923076923,0.0443901826923076,0.1540384615384615,0.0498730769230769,0.7755384615384624
Cal Tjader,120,16.008333333333333,114.51661666666662,-17.084625000000013,0.8422333333333334,0.5980916666666667,0.3488550000000002,0.4542550130833334,0.154635,0.0473841666666666,0.6656583333333329
Cal Tjader's Modern Mambo Quintet,18,3.6666666666666665,118.35288888888893,-13.38777777777778,0.8148888888888888,0.6832222222222224,0.4724444444444445,0.5949125555555557,0.1492666666666666,0.0463444444444444,0.7842222222222222
Cali Life Style,17,44.58823529411765,102.17400000000002,-8.490764705882352,0.1863470588235294,0.8108235294117646,0.6013529411764705,2.821176470588235e-06,0.1521294117647058,0.2077647058823529,0.5216470588235296
Calibre 50,44,59.15909090909091,133.5034318181818,-4.117000000000001,0.4361818181818183,0.7106136363636364,0.7364545454545453,0.0001526195454545,0.1861295454545454,0.0581136363636363,0.8463181818181815
Call Me Karizma,9,62.66666666666666,106.19044444444444,-7.874777777777776,0.3301555555555555,0.7007777777777776,0.6325555555555555,0.0404617466666666,0.2199333333333333,0.1609222222222222,0.568
